DATE,OPPONENT,RESULT,FPTS,G,P,+/-,PLUSMINUS,SOG,PPG,PPA,SHG,SHA,GW,PM,TOI,PPTOI,SHTOI,NAME,POSITION
17-Nov-22,@CLB,L 6-4,—,1,2,-1,-1,2,0,0,0,0,0,0,23:11,2:40,0:26,nick suzuki,center
15-Nov-22,vs NJ,L 5-1,-2,0,0,-2,-2,0,0,0,0,0,0,0,21:25,2:42,1:35,nick suzuki,center
12-Nov-22,vs PIT,W 5-4,5,1,2,0,0,4,0,0,0,0,0,0,22:22,4:33,1:49,nick suzuki,center
9-Nov-22,vs VAN,W 5-2,8,1,2,1,1,2,1,0,0,0,0,0,18:58,3:53,0:46,nick suzuki,center
8-Nov-22,@DET,W 3-2,—,0,0,0,0,0,0,0,0,0,0,0,22:53,1:29,4:32,nick suzuki,center
5-Nov-22,vs LV,L 6-4,8,2,2,0,0,2,1,0,0,0,0,0,22:01,0:13,1:13,nick suzuki,center
3-Nov-22,@WPG,L 3-2,6,1,2,1,1,5,0,0,0,0,0,0,21:12,1:26,3:31,nick suzuki,center
1-Nov-22,@MIN,T 0-0,4,1,1,-1,-1,1,1,0,0,0,0,0,20:20,2:29,1:51,nick suzuki,center
29-Oct-22,@STL,W 7-4,8.5,1,3,1,1,1,0,1,0,0,0,2,17:43,4:07,0:24,nick suzuki,center
27-Oct-22,@BUF,W 3-2,1,0,0,1,1,4,0,0,0,0,0,0,19:21,3:47,1:08,nick suzuki,center
25-Oct-22,vs MIN,L 3-1,-1,0,0,-1,-1,1,0,0,0,0,0,0,20:27,3:27,1:09,nick suzuki,center
22-Oct-22,vs DAL,L 5-2,2,0,1,0,0,2,0,0,0,0,0,0,18:51,2:55,0:00,nick suzuki,center
20-Oct-22,vs ARI,W 6-2,7,1,1,3,3,2,0,0,1,0,0,0,14:56,0:51,1:05,nick suzuki,center
17-Oct-22,vs PIT,W 3-2,6,1,2,1,1,8,0,1,0,0,0,0,22:44,3:25,1:36,nick suzuki,center
15-Oct-22,@WAS,L 3-1,3,1,1,0,0,2,0,0,0,0,0,0,18:17,3:49,0:58,nick suzuki,center
14-Oct-22,@DET,L 3-0,-0.5,0,0,-1,-1,0,0,0,0,0,0,2,21:30,3:36,0:40,nick suzuki,center
12-Oct-22,vs TOR,W 4-3,5,0,2,1,1,3,0,0,0,0,0,0,21:24,4:59,0:51,nick suzuki,center
17-Nov-22,@CLB,L 6-4,—,0,1,-2,-2,1,0,0,0,0,0,0,20:26,2:44,0:00,kirby dach,center
15-Nov-22,vs NJ,L 5-1,-1.5,0,0,-2,-2,1,0,0,0,0,0,2,20:28,2:47,0:00,kirby dach,center
12-Nov-22,vs PIT,W 5-4,6,0,2,2,2,0,0,1,0,0,0,0,19:38,4:48,0:00,kirby dach,center
9-Nov-22,vs VAN,W 5-2,8,2,2,2,2,4,0,0,0,0,1,0,17:16,3:48,0:00,kirby dach,center
8-Nov-22,@DET,W 3-2,—,0,0,0,0,2,0,0,0,0,0,0,17:15,1:29,0:11,kirby dach,center
5-Nov-22,vs LV,L 6-4,6,0,3,0,0,0,0,1,0,0,0,0,16:50,0:13,0:01,kirby dach,center
3-Nov-22,@WPG,L 3-2,5,1,1,2,2,1,0,0,0,0,0,0,16:16,1:23,0:13,kirby dach,center
1-Nov-22,@MIN,T 0-0,1,0,1,-1,-1,3,0,1,0,0,0,0,17:13,2:31,0:00,kirby dach,center
29-Oct-22,@STL,W 7-4,6,0,2,2,2,2,0,1,0,0,0,0,16:09,4:04,0:00,kirby dach,center
